13:09:32.558 [pool-3-thread-1] INFO  raf.rs.node.Node - NODE TIMEOUT
13:09:32.577 [pool-3-thread-1] INFO  raf.rs.node.MessageSender - Reqesting vote for node: 9000
13:09:32.578 [pool-3-thread-1] INFO  raf.rs.node.MessageSender - Reqesting vote for node: 9001
13:09:32.578 [pool-3-thread-1] INFO  raf.rs.node.MessageSender - Reqesting vote for node: 9003
13:09:32.578 [pool-3-thread-1] INFO  raf.rs.node.MessageSender - Reqesting vote for node: 9004
13:09:32.661 [pool-1-thread-2] INFO  raf.rs.node.SocketListener - Node: 9001 voted for term: 1 vote granted: false
13:09:32.661 [pool-1-thread-3] INFO  raf.rs.node.SocketListener - Node: 9000 voted for term: 1 vote granted: true
13:09:32.661 [pool-1-thread-4] INFO  raf.rs.node.SocketListener - Node: 9004 voted for term: 1 vote granted: false
13:09:32.661 [pool-1-thread-1] INFO  raf.rs.node.SocketListener - Node: 9003 voted for term: 1 vote granted: true
13:09:32.661 [pool-1-thread-1] INFO  raf.rs.node.Node - Leader elected
13:09:32.666 [pool-1-thread-4] INFO  raf.rs.node.SocketListener - Requested vote... 1 9004 0 0
13:09:32.666 [pool-1-thread-2] INFO  raf.rs.node.SocketListener - Requested vote... 1 9001 0 0
13:09:32.667 [pool-1-thread-4] INFO  raf.rs.node.MessageSender - Submitting vote...
13:09:32.667 [pool-1-thread-2] INFO  raf.rs.node.MessageSender - Submitting vote...
13:10:44.980 [pool-1-thread-5] INFO  raf.rs.node.SocketListener - 8999 5187046 ai_testzzz fhsdkjlfas
13:10:57.161 [pool-1-thread-3] INFO  raf.rs.node.SocketListener - Stopping node...
